scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.55,1.1,3,5,3,74.0637,0.590287,0.186665,73.697837,74.429563,141.3422,0.162358,0.051342,141.241569,141.442831,0.55214,0.005151,0.001629,0.548947,0.555333,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.55,1.1,3,5,3,59.9796,0.346204,0.109479,59.765021,60.194179,166.3844,0.14599,0.046166,166.293914,166.474886,0.81836,0.002772,0.000877,0.816642,0.820078,0.40565,0.006396,0.002023,0.401686,0.409614,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.55,1.1,3,5,3,60.1473,0.452597,0.143124,59.866778,60.427822,166.4038,0.161403,0.05104,166.303761,166.503839,0.81703,0.004084,0.001292,0.814498,0.819562,0.40769,0.00887,0.002805,0.402192,0.413188,-0.1677
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.65,1.1,3,5,3,73.9441,0.40796,0.129008,73.691244,74.196956,141.3516,0.148206,0.046867,141.259741,141.443459,0.55306,0.003552,0.001123,0.550858,0.555262,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.65,1.1,3,5,3,52.311,0.320438,0.101331,52.112391,52.509609,164.3588,0.106676,0.033734,164.292682,164.424918,0.89567,0.001724,0.000545,0.894601,0.896739,0.23219,0.004271,0.001351,0.229543,0.234837,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.65,1.1,3,5,3,52.2904,0.292404,0.092466,52.109166,52.471634,164.3589,0.10672,0.033748,164.292754,164.425046,0.89576,0.001685,0.000533,0.894715,0.896805,0.23209,0.004319,0.001366,0.229413,0.234767,0.0206
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.82,1.1,3,5,3,73.9718,0.335337,0.106043,73.763956,74.179644,141.3684,0.100505,0.031782,141.306107,141.430693,0.55288,0.002908,0.00092,0.551078,0.554682,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.82,1.1,3,5,3,43.9252,0.156091,0.04936,43.828454,44.021946,70.7796,0.208836,0.06604,70.650162,70.909038,0.98049,0.001314,0.000416,0.979675,0.981305,0.0432,0.003046,0.000963,0.041312,0.045088,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.82,1.1,3,5,3,43.9196,0.163733,0.051777,43.818117,44.021083,70.7942,0.197012,0.062301,70.672091,70.916309,0.98045,0.001279,0.000404,0.979657,0.981243,0.04331,0.002961,0.000936,0.041475,0.045145,0.0056
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.2,1.1,3,5,3,100.8695,0.595167,0.188208,100.500611,101.238389,201.3195,0.17272,0.054619,201.212447,201.426553,0.55238,0.003556,0.001125,0.550176,0.554584,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.2,1.1,3,5,3,109.4734,0.809329,0.255932,108.971773,109.975027,229.158,0.104814,0.033145,229.093036,229.222964,0.57741,0.004003,0.001266,0.574929,0.579891,0.94052,0.00554,0.001752,0.937087,0.943953,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.2,1.1,3,5,3,101.0963,0.840268,0.265716,100.575496,101.617104,201.2887,0.139957,0.044258,201.201954,201.375446,0.55105,0.004984,0.001576,0.547961,0.554139,0.0,0.0,0.0,0.0,0.0,8.3771
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.25,1.1,3,5,3,101.0856,1.075175,0.34,100.4192,101.752,201.3285,0.14047,0.044421,201.241436,201.415564,0.55112,0.006122,0.001936,0.547326,0.554914,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.25,1.1,3,5,3,105.8967,0.580331,0.183517,105.537007,106.256393,228.988,0.13026,0.041192,228.907264,229.068736,0.59919,0.002878,0.00091,0.597406,0.600974,0.89708,0.004575,0.001447,0.894244,0.899916,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.25,1.1,3,5,3,101.0981,1.092005,0.345322,100.421268,101.774932,201.3676,0.145305,0.04595,201.277539,201.457661,0.55111,0.006196,0.001959,0.54727,0.55495,0.0,0.0,0.0,0.0,0.0,4.7986
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.3,1.1,3,5,3,101.4937,1.106465,0.349895,100.807906,102.179494,201.4105,0.140407,0.044401,201.323475,201.497525,0.54891,0.00631,0.001995,0.544999,0.552821,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.3,1.1,3,5,3,101.7818,0.960018,0.303584,101.186775,102.376825,228.8332,0.141538,0.044758,228.745474,228.920926,0.62543,0.004762,0.001506,0.622478,0.628382,0.83519,0.006422,0.002031,0.83121,0.83917,
