scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.45,1.1,3,5,3,126.5304,0.4079,0.128989,126.277581,126.783219,143.5428,0.169,0.053442,143.438053,143.647547,0.09175,0.003602,0.001139,0.089518,0.093982,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.45,1.1,3,5,3,115.0363,0.910005,0.287769,114.472273,115.600327,169.9317,0.103298,0.032666,169.867675,169.995725,0.46093,0.007739,0.002447,0.456134,0.465726,0.59343,0.006872,0.002173,0.589171,0.597689,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.45,1.1,3,5,3,115.0245,0.904185,0.285929,114.46408,115.58492,169.9595,0.090345,0.02857,169.903503,170.015497,0.46096,0.007721,0.002441,0.456175,0.465745,0.59359,0.006992,0.002211,0.589256,0.597924,0.0118
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.55,1.1,3,5,3,117.9219,0.699273,0.22113,117.488486,118.355314,143.2932,0.137761,0.043564,143.207815,143.378585,0.16742,0.00606,0.001916,0.163664,0.171176,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.55,1.1,3,5,3,91.8065,0.543716,0.171938,91.469501,92.143499,168.4905,0.09701,0.030677,168.430373,168.550627,0.66215,0.004818,0.001524,0.659164,0.665136,0.40515,0.005439,0.00172,0.401779,0.408521,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.55,1.1,3,5,3,91.9025,0.479834,0.151737,91.605096,92.199904,168.4892,0.096985,0.030669,168.429088,168.549312,0.66123,0.004324,0.001367,0.65855,0.66391,0.40616,0.005053,0.001598,0.403028,0.409292,-0.096
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.65,1.1,3,5,3,105.8448,0.348222,0.110117,105.62897,106.06063,142.8525,0.138032,0.043649,142.766947,142.938053,0.27323,0.003184,0.001007,0.271256,0.275204,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.65,1.1,3,5,3,70.4387,0.543675,0.171925,70.101727,70.775673,166.1297,0.111953,0.035403,166.060311,166.199089,0.8302,0.00476,0.001505,0.82725,0.83315,0.2341,0.00618,0.001954,0.23027,0.23793,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.65,1.1,3,5,3,70.4461,0.547602,0.173167,70.106693,70.785507,166.149,0.138365,0.043755,166.06324,166.23476,0.83035,0.004724,0.001494,0.827422,0.833278,0.23369,0.006131,0.001939,0.22989,0.23749,-0.0074
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.75,1.1,3,5,3,88.7755,0.475087,0.150236,88.481038,89.069962,142.1481,0.07271,0.022993,142.103034,142.193166,0.42283,0.004227,0.001337,0.42021,0.42545,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.75,1.1,3,5,3,53.2929,0.418751,0.132421,53.033355,53.552445,161.7564,0.456145,0.144246,161.473679,162.039121,0.94004,0.003421,0.001082,0.937919,0.942161,0.10357,0.00575,0.001818,0.100006,0.107134,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.75,1.1,3,5,3,53.3716,0.338172,0.106939,53.161999,53.581201,161.8056,0.407534,0.128874,161.553008,162.058192,0.93983,0.003172,0.001003,0.937864,0.941796,0.10371,0.005581,0.001765,0.100251,0.107169,-0.0787
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.82,1.1,3,5,3,73.9718,0.335337,0.106043,73.763956,74.179644,141.3684,0.100505,0.031782,141.306107,141.430693,0.55288,0.002908,0.00092,0.551078,0.554682,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.82,1.1,3,5,3,43.9252,0.156091,0.04936,43.828454,44.021946,70.7796,0.208836,0.06604,70.650162,70.909038,0.98049,0.001314,0.000416,0.979675,0.981305,0.0432,0.003046,0.000963,0.041312,0.045088,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.82,1.1,3,5,3,43.9196,0.163733,0.051777,43.818117,44.021083,70.7942,0.197012,0.062301,70.672091,70.916309,0.98045,0.001279,0.000404,0.979657,0.981243,0.04331,0.002961,0.000936,0.041475,0.045145,0.0056
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,120.0,0.9,1.1,3,5,3,53.8787,0.566832,0.179248,53.527374,54.230026,139.699,0.176509,0.055817,139.589599,139.808401,0.72917,0.004948,0.001565,0.726103,0.732237,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,120.0,0.9,1.1,3,5,3,34.6413,0.326199,0.103153,34.43912,34.84348,67.8333,0.18642,0.058951,67.717756,67.948844,0.99765,0.000615,0.000195,0.997269,0.998031,0.00863,0.00217,0.000686,0.007285,0.009975,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,120.0,0.9,1.1,3,5,3,34.5886,0.300885,0.095148,34.40211,34.77509,67.771,0.138057,0.043658,67.685431,67.856569,0.99773,0.000617,0.000195,0.997348,0.998112,0.00836,0.002189,0.000692,0.007003,0.009717,0.0527
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.45,1.1,3,5,3,181.2359,0.679479,0.21487,180.814754,181.657046,203.5569,0.099779,0.031553,203.495056,203.618744,0.09052,0.003942,0.001247,0.088077,0.092963,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.45,1.1,3,5,3,147.3037,0.865598,0.273726,146.767197,147.840203,229.8826,0.124057,0.03923,229.805709,229.959491,0.4615,0.0054,0.001707,0.458153,0.464847,0.5927,0.006277,0.001985,0.588809,0.596591,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.45,1.1,3,5,3,147.2066,0.859802,0.271893,146.673689,147.739511,229.8886,0.117963,0.037303,229.815485,229.961715,0.46193,0.005403,0.001708,0.458581,0.465279,0.59271,0.006276,0.001985,0.58882,0.5966,0.0971
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.55,1.1,3,5,3,168.1597,0.421811,0.133388,167.898259,168.421141,203.3405,0.093486,0.029563,203.282557,203.398443,0.16575,0.002469,0.000781,0.16422,0.16728,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.55,1.1,3,5,3,112.3087,0.797811,0.25229,111.814211,112.803189,228.4536,0.160332,0.050702,228.354225,228.552975,0.66065,0.004152,0.001313,0.658076,0.663224,0.40709,0.004254,0.001345,0.404453,0.409727,
